ID,URL,DESC,BRAND,MODEL,TYPE,KM,ENGINE,PRICE
1,https://www.carsales.com.au/cars/details/2013-bmw-4-series-420d-luxury-line-f32-auto/OAG-AD-19856992/,2013 BMW 4 Series 420d Luxury Line F32 Auto,BMW,4 Series,,83591,4cyl 2.0L Turbo Diesel,29800
2,https://www.carsales.com.au/cars/details/2013-bmw-4-series-428i-m-sport-f32-auto/OAG-AD-20014335/,2013 BMW 4 Series 428i M Sport F32 Auto,BMW,4 Series,,119438,4cyl 2.0L Turbo Petrol,29990
3,https://www.carsales.com.au/cars/details/2014-bmw-4-series-420d-m-sport-f32-auto/SSE-AD-7221156/,2014 BMW 4 Series 420d M Sport F32 Auto,BMW,4 Series,,178000,4cyl 2.0L Turbo Diesel,21500
4,https://www.carsales.com.au/cars/details/2014-bmw-4-series-420i-modern-line-f32-auto/OAG-AD-20015820/,2014 BMW 4 Series 420i Modern Line F32 Auto,BMW,4 Series,,164624,4cyl 2.0L Turbo Petrol,27990
5,https://www.carsales.com.au/cars/details/2013-bmw-4-series-420i-sport-line-f32-auto/SSE-AD-7341085/,2013 BMW 4 Series 420i Sport Line F32 Auto,BMW,4 Series,,69900,4cyl 2.0L Turbo Petrol,28700
6,https://www.carsales.com.au/cars/details/2013-bmw-4-series-420d-luxury-line-f32-auto/SSE-AD-7318595/,2013 BMW 4 Series 420d Luxury Line F32 Auto,BMW,4 Series,,111224,4cyl 2.0L Turbo Diesel,27500
7,https://www.carsales.com.au/cars/details/2015-bmw-4-series-420d-m-sport-f36-auto/SSE-AD-7311295/,2015 BMW 4 Series 420d M Sport F36 Auto,BMW,4 Series,,119000,4cyl 2.0L Turbo Diesel,29500
8,https://www.carsales.com.au/cars/details/2015-bmw-4-series-428i-modern-line-f32-auto/OAG-AD-19643780/,2015 BMW 4 Series 428i Modern Line F32 Auto,BMW,4 Series,,113260,4cyl 2.0L Turbo Petrol,29700
9,https://www.carsales.com.au/cars/details/2013-bmw-4-series-428i-m-sport-f32-auto/SSE-AD-7271933/,2013 BMW 4 Series 428i M Sport F32 Auto,BMW,4 Series,,130000,4cyl 2.0L Turbo Petrol,29900
10,https://www.carsales.com.au/cars/details/2013-bmw-4-series-428i-m-sport-f32-auto/SSE-AD-7361417/,2013 BMW 4 Series 428i M Sport F32 Auto,BMW,4 Series,,109000,4cyl 2.0L Turbo Petrol,29500
